"COUNTRY","Country","LANDINGS","Marine landings","SPECIES","Species","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","8","MISCELLANEOUS AQUATIC ANIMAL PRODUCTS","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,47697,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","8","MISCELLANEOUS AQUATIC ANIMAL PRODUCTS","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,51423,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","8","MISCELLANEOUS AQUATIC ANIMAL PRODUCTS","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,45875,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","8","MISCELLANEOUS AQUATIC ANIMAL PRODUCTS","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,43329,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","8","MISCELLANEOUS AQUATIC ANIMAL PRODUCTS","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,42460,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","8","MISCELLANEOUS AQUATIC ANIMAL PRODUCTS","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,40242,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","8","MISCELLANEOUS AQUATIC ANIMAL PRODUCTS","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,42607,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","8","MISCELLANEOUS AQUATIC ANIMAL PRODUCTS","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,41879,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","8","MISCELLANEOUS AQUATIC ANIMAL PRODUCTS","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,39997,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","8","MISCELLANEOUS AQUATIC ANIMAL PRODUCTS","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,36973,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,62832,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,55432,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,57365,,
